"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
1;2022;"OCTUBRE";"VIERNES";"2022-10-14";3;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.584136;-58.454704;1
2;2022;"OCTUBRE";"JUEVES";"2022-10-27";5;"Robo";"Robo total";"NO";"NO";"BARRACAS";4;-34.645043;-58.373194;1
3;2022;"NOVIEMBRE";"MARTES";"2022-11-29";0;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.589982;-58.446471;1
4;2022;"NOVIEMBRE";"LUNES";"2022-11-28";0;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58832;-58.441232;1
5;2022;"NOVIEMBRE";"MIERCOLES";"2022-11-30";3;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.596748;-58.413609;1
6;2022;"MAYO";"MARTES";"2022-05-17";5;"Robo";"Robo total";"NO";"NO";"PARQUE AVELLANEDA";9;-34.640978;-58.480254;1
7;2022;"AGOSTO";"LUNES";"2022-08-08";22;"Robo";"Robo total";"NO";"NO";"PARQUE AVELLANEDA";9;-34.65452838;-58.47595359;1
8;2022;"ENERO";"JUEVES";"2022-01-13";0;"Hurto";"Hurto total";"NO";"NO";"NUÑEZ";13;-34.547388;-58.466093;1
9;2022;"ENERO";"VIERNES";"2022-01-14";22;"Robo";"Robo automotor";"SI";"NO";"NUÑEZ";13;-34.549508;-58.465083;1
10;2022;"SEPTIEMBRE";"MIERCOLES";"2022-09-14";1;"Robo";"Robo total";"SI";"NO";"BARRACAS";4;-34.652644;-58.379074;1
11;2022;"SEPTIEMBRE";"JUEVES";"2022-09-29";23;"Robo";"Robo total";"NO";"NO";"BARRACAS";4;-34.6281;-58.371201;1
12;2022;"OCTUBRE";"MARTES";"2022-10-25";23;"Robo";"Robo total";"NO";"NO";"BARRACAS";4;-34.647003;-58.377876;1
13;2022;"OCTUBRE";"MIERCOLES";"2022-10-26";4;"Robo";"Robo total";"NO";"NO";"BARRACAS";4;-34.647671;-58.396028;1
14;2022;"NOVIEMBRE";"LUNES";"2022-11-07";23;"Hurto";"Hurto total";"NO";"NO";"BARRACAS";4;-34.64486685;-58.36928024;1
15;2022;"DICIEMBRE";"MARTES";"2022-12-06";22;"Hurto";"Hurto total";"NO";"NO";"BARRACAS";4;-34.651126;-58.382208;1
16;2022;"ENERO";"VIERNES";"2022-01-14";0;"Hurto";"Hurto total";"NO";"NO";"ALMAGRO";5;-34.60178058;-58.42191282;1
17;2022;"MARZO";"LUNES";"2022-03-07";22;"Robo";"Robo total";"NO";"NO";"VILLA LURO";10;-34.628449;-58.516378;1
18;2022;"NOVIEMBRE";"LUNES";"2022-11-21";0;"Hurto";"Hurto total";"NO";"NO";"VILLA SOLDATI";8;-34.65872;-58.433906;1
